locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T03:30:00+00:00,2023-02-27T09:00:00+05:30,pm25,183,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T02:30:00+00:00,2023-02-27T08:00:00+05:30,pm25,158,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T01:30:00+00:00,2023-02-27T07:00:00+05:30,pm25,138,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T00:30:00+00:00,2023-02-27T06:00:00+05:30,pm25,132,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T23:30:00+00:00,2023-02-27T05:00:00+05:30,pm25,124,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T22:30:00+00:00,2023-02-27T04:00:00+05:30,pm25,127,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T21:30:00+00:00,2023-02-27T03:00:00+05:30,pm25,131,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T20:30:00+00:00,2023-02-27T02:00:00+05:30,pm25,140,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T19:30:00+00:00,2023-02-27T01:00:00+05:30,pm25,132,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T18:30:00+00:00,2023-02-27T00:00:00+05:30,pm25,144,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T17:30:00+00:00,2023-02-26T23:00:00+05:30,pm25,110,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T16:30:00+00:00,2023-02-26T22:00:00+05:30,pm25,122,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T15:30:00+00:00,2023-02-26T21:00:00+05:30,pm25,117,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T14:30:00+00:00,2023-02-26T20:00:00+05:30,pm25,67,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T13:30:00+00:00,2023-02-26T19:00:00+05:30,pm25,57,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T12:30:00+00:00,2023-02-26T18:00:00+05:30,pm25,54,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T11:30:00+00:00,2023-02-26T17:00:00+05:30,pm25,68,µg/m³,28.63576,77.22445
